ga:operatingSystem,ga:browser,tipo
Chrome OS,Chrome,no_comprador
Linux,Chrome,no_comprador
Windows,Chrome,no_comprador
Chrome OS,Chrome,comprador
Chrome OS,Chrome,no_comprador
Linux,Firefox,no_comprador
Windows,Chrome,no_comprador
Chrome OS,Chrome,comprador
Android,Mozilla,no_comprador
Windows,Mozilla,no_comprador
Chrome OS,Internet Explorer,no_comprador
Chrome OS,Internet Explorer,no_comprador
Chrome OS,Internet Explorer,no_comprador
Chrome OS,Mozilla,no_comprador
Windows,Mozilla,comprador
Chrome OS,Mozilla,no_comprador
Macintosh,Internet Explorer,no_comprador
Chrome OS,Internet Explorer,no_comprador
Macintosh,Mozilla,comprador
Chrome OS,Mozilla,no_comprador
Windows,Internet Explorer,no_comprador
Chrome OS,Internet Explorer,comprador
Macintosh,Internet Explorer,no_comprador
Macintosh,Mozilla,no_comprador
Windows,Mozilla,no_comprador
Chrome OS,Mozilla,comprador
Chrome OS,Internet Explorer,no_comprador
Windows,Internet Explorer,comprador
Chrome OS,Internet Explorer,no_comprador
Linux,Mozilla,no_comprador
Chrome OS,Mozilla,comprador
iOS,Internet Explorer,comprador
iOS,Mozilla,no_comprador
iOS,Mozilla,no_comprador
Windows,Internet Explorer,no_comprador
Chrome OS,Internet Explorer,no_comprador
Chrome OS,Mozilla,no_comprador
Windows,Mozilla,no_comprador
Chrome OS,Internet Explorer,comprador
Chrome OS,Mozilla,comprador
Windows,Internet Explorer,no_comprador
Chrome OS,Mozilla,no_comprador
Chrome OS,Mozilla,comprador
Chrome OS,Internet Explorer,no_comprador
Chrome OS,Internet Explorer,no_comprador
Chrome OS,Mozilla,comprador
Windows,Mozilla,no_comprador
Macintosh,Internet Explorer,no_comprador
Macintosh,Mozilla,no_comprador
Windows,Internet Explorer,no_comprador
Macintosh,Internet Explorer,no_comprador
Macintosh,Internet Explorer,comprador
Macintosh,Internet Explorer,no_comprador
Windows,Mozilla,no_comprador
FreeBSD,Internet Explorer,no_comprador
Macintosh,Internet Explorer,comprador
Windows,Internet Explorer,no_comprador
Macintosh,Internet Explorer,no_comprador
FreeBSD,Mozilla,no_comprador
FreeBSD,Internet Explorer,no_comprador
Windows,Internet Explorer,no_comprador
Macintosh,Internet Explorer,no_comprador
Macintosh,Safari,comprador
FreeBSD,Chrome,no_comprador
Windows,Mozilla,no_comprador
Macintosh,Mozilla,no_comprador
Windows,Internet Explorer,comprador
Windows,Internet Explorer,no_comprador
FreeBSD,Internet Explorer,no_comprador
Windows,Mozilla,comprador
Windows,Mozilla,no_comprador
Linux,Mozilla,no_comprador
Windows,Internet Explorer,no_comprador
FreeBSD,Internet Explorer,no_comprador
FreeBSD,Mozilla,no_comprador
Windows,Mozilla,comprador
FreeBSD,Internet Explorer,no_comprador
FreeBSD,Internet Explorer,no_comprador
FreeBSD,Internet Explorer,no_comprador
Macintosh,Mozilla,comprador
Windows,Mozilla,no_comprador
FreeBSD,Mozilla,no_comprador
Windows,Internet Explorer,no_comprador
Linux,Internet Explorer,no_comprador
iOS,Internet Explorer,no_comprador
Macintosh,Mozilla,no_comprador
Macintosh,Mozilla,comprador
FreeBSD,Internet Explorer,no_comprador
Windows,Mozilla,no_comprador
FreeBSD,Mozilla,no_comprador
Linux,Internet Explorer,comprador
Windows,Internet Explorer,no_comprador
FreeBSD,Mozilla,no_comprador
Macintosh,Mozilla,comprador
iOS,Internet Explorer,no_comprador
Windows,Mozilla,no_comprador
Android,Internet Explorer,no_comprador
Android,Mozilla,no_comprador
Linux,Mozilla,no_comprador
Windows,Internet Explorer,comprador
Linux,Internet Explorer,no_comprador
Macintosh,Mozilla,no_comprador
Linux,Mozilla,no_comprador
Android,Internet Explorer,comprador
Linux,Mozilla,no_comprador
Macintosh,Internet Explorer,no_comprador
FreeBSD,Internet Explorer,comprador
iOS,Internet Explorer,no_comprador
Linux,Internet Explorer,no_comprador
Windows,Mozilla,no_comprador
iOS,Internet Explorer,comprador
Windows,Internet Explorer,no_comprador
Macintosh,Internet Explorer,no_comprador
Macintosh,Internet Explorer,no_comprador
Macintosh,Mozilla,comprador
iOS,Internet Explorer,no_comprador
Windows,Internet Explorer,no_comprador
Windows,Internet Explorer,comprador
Linux,Firefox,no_comprador
FreeBSD,Chrome,comprador
Macintosh,Chrome,no_comprador
Macintosh,Chrome,comprador
Windows,Chrome,no_comprador
Windows,Chrome,comprador
Windows,Chrome,comprador
Windows,Chrome,comprador
Windows,Chrome,no_comprador
Linux,Chrome,comprador
Macintosh,Chrome,no_comprador
